,title,description,labels,category,date,year,is_annual,start_time,duration,venue_name,scope,venue_type,est_capacity,distance,longitude,latitude,rank,local_rank,aviation_rank,impact_linear,impact_exp
23620,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-07,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23621,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-08,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23622,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-09,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23623,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-10,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23624,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-11,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23625,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-12,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23626,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-13,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23627,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-14,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23628,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-15,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23629,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-16,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23630,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-17,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23631,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-18,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23632,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-19,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23633,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-20,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23634,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-21,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23635,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-22,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23636,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-23,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23637,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-24,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23638,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-25,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23639,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-26,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23640,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-27,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
23641,Halloween Horror Nights,"""Halloween Horror Nights takes place on select nights from Sep. 6–Nov. 2, 2019. This event is the World’s Premier Halloween Event and it brings together the stories and visions of the creators of horror and takes them to the next level.""","""entertainment,family,festival""",festivals,2019-09-28,2019,0,am,5011199,Universal Orlando,locality,indoor,247399.43659781336,1.2529235056376222,-81.471249,28.479148,100,100.0,0.0,79.81333221864111,3.3027445246815366e+21
